combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
0_1_4_1_3_0_3_1_0_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	6	G9 | (G4 & ~G6)	205	~G4 | (~G2 & ~G5)	27	~G7 | (~G3 & ~G9)	203	G3 & G6 & G9	137	G4 & (G5 | ~G2)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	40	~G5 | (G4 & G7)	1.9
0_3_0_3_3_4_1_1_0_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	86	G9 | (G1 & G5)	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	203	G3 & G6 & G9	130	~G3 & (G2 | G4)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	40	~G5 | (G4 & G7)	1.9
3_4_1_3_1_4_2_1_1_4	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	53	G10 & (G7 | ~G1)	87	G6 | G7 | ~G1	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	211	G10 & G3 & G4	30	G2 & G3 & ~G5	24	G5 & (~G1 | ~G10)	41	G6 | ~G2 | ~G5	1.9
1_1_3_4_2_3_3_1_2_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	55	G5 & (~G3 | ~G4)	6	G9 | (G4 & ~G6)	204	G3 | G6 | G8	72	G10 | G8 | ~G9	202	G10 & G9 & ~G2	129	~G3 | (~G2 & ~G4)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	40	~G5 | (G4 & G7)	1.9
4_4_4_2_4_3_0_0_1_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	87	G6 | G7 | ~G1	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	204	G1 & G10 & G4	129	~G3 | (~G2 & ~G4)	209	G7 & G8 & ~G3	29	~G5 & (G2 | G3)	24	G5 & (~G1 | ~G10)	40	~G5 | (G4 & G7)	1.9
3_3_0_3_2_2_4_1_0_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	53	G10 & (G7 | ~G1)	86	G9 | (G1 & G5)	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	202	G10 & G9 & ~G2	139	G6 | (G1 & G5)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	38	~G10 | ~G5 | ~G9	1.9
0_4_1_1_2_4_4_1_4_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	202	G2 | G4 | ~G1	27	~G7 | (~G3 & ~G9)	202	G10 & G9 & ~G2	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	18	G5 | (G1 & ~G8)	38	~G10 | ~G5 | ~G9	1.9
0_3_3_3_3_4_1_1_4_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	86	G9 | (G1 & G5)	204	G3 | G6 | G8	25	~G7 | (~G1 & ~G3)	203	G3 & G6 & G9	130	~G3 & (G2 | G4)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	18	G5 | (G1 & ~G8)	38	~G10 | ~G5 | ~G9	1.9
2_3_4_3_4_4_4_1_0_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	86	G9 | (G1 & G5)	205	~G4 | (~G2 & ~G5)	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	40	~G5 | (G4 & G7)	1.9
0_4_2_2_4_3_1_4_2_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	203	G9 | (G8 & ~G6)	26	G1 | G4 | G5	204	G1 & G10 & G4	129	~G3 | (~G2 & ~G4)	210	~G7 & ~G8 & ~G9	33	G2 & (G7 | ~G5)	32	G5 & (~G1 | ~G2)	40	~G5 | (G4 & G7)	1.9
