Dataset	Replicate	Method	File	Total_Genes	Unique_Patterns	Distinct_Patterns	Max_Frequency	Unique_Ratio
4	3	WCSS	bin_WCSS_size10_4_3.tsv	10	8	9	2	0.8
4	3	WCSS	bin_WCSS_size10_4_3_5times.tsv	10	7	8	3	0.7
4	4	SSD	bin_SSD_size10_4_4.tsv	10	10	10	1	1.0
4	4	SSD	bin_SSD_size10_4_4_5times.tsv	10	5	7	3	0.5
4	4	WCSS	bin_WCSS_size10_4_4.tsv	10	10	10	1	1.0
4	4	WCSS	bin_WCSS_size10_4_4_5times.tsv	10	8	9	2	0.8
4	5	SSD	bin_SSD_size10_4_5.tsv	10	10	10	1	1.0
4	5	SSD	bin_SSD_size10_4_5_5times.tsv	10	6	8	2	0.6
4	5	WCSS	bin_WCSS_size10_4_5.tsv	10	10	10	1	1.0
4	5	WCSS	bin_WCSS_size10_4_5_5times.tsv	10	8	9	2	0.8
5	1	SSD	bin_SSD_size10_5_1.tsv	10	10	10	1	1.0
5	1	SSD	bin_SSD_size10_5_1_5times.tsv	10	5	7	3	0.5
5	1	WCSS	bin_WCSS_size10_5_1.tsv	10	10	10	1	1.0
5	1	WCSS	bin_WCSS_size10_5_1_5times.tsv	10	6	8	2	0.6
5	2	SSD	bin_SSD_size10_5_2.tsv	10	10	10	1	1.0
5	2	SSD	bin_SSD_size10_5_2_5times.tsv	10	3	6	3	0.3
5	2	WCSS	bin_WCSS_size10_5_2.tsv	10	10	10	1	1.0
5	2	WCSS	bin_WCSS_size10_5_2_5times.tsv	10	4	7	2	0.4
5	3	SSD	bin_SSD_size10_5_3.tsv	10	10	10	1	1.0
5	3	SSD	bin_SSD_size10_5_3_5times.tsv	10	6	7	4	0.6
5	3	WCSS	bin_WCSS_size10_5_3.tsv	10	10	10	1	1.0
5	3	WCSS	bin_WCSS_size10_5_3_5times.tsv	10	5	7	3	0.5
5	4	SSD	bin_SSD_size10_5_4.tsv	10	8	9	2	0.8
5	4	SSD	bin_SSD_size10_5_4_5times.tsv	10	2	5	3	0.2
5	4	WCSS	bin_WCSS_size10_5_4.tsv	10	6	8	2	0.6
5	4	WCSS	bin_WCSS_size10_5_4_5times.tsv	10	2	6	2	0.2
5	5	SSD	bin_SSD_size10_5_5.tsv	10	8	9	2	0.8
5	5	SSD	bin_SSD_size10_5_5_5times.tsv	10	10	10	1	1.0
5	5	WCSS	bin_WCSS_size10_5_5.tsv	10	10	10	1	1.0
5	5	WCSS	bin_WCSS_size10_5_5_5times.tsv	10	10	10	1	1.0
