Metric_Sampling	Statistic	Value
DynamicAccuracy | 5tp	BNI3 Mean ± SD	0.9950 ± 0.0250
DynamicAccuracy | 5tp	BNI3 Median	1.0000
DynamicAccuracy | 5tp	Difference (Mean)	0.0000
DynamicAccuracy | 5tp	Difference (Median)	0.0000
DynamicAccuracy | 5tp	Percent Change	0.0%
DynamicAccuracy | 5tp	95% CI Difference	[-0.0142, 0.0142]
DynamicAccuracy | 5tp	Cohen's d	0.0000
DynamicAccuracy | 5tp	Cohen's d Interpretation	trivial
DynamicAccuracy | 5tp	Wilcoxon Statistic	0.00
DynamicAccuracy | 5tp	Wilcoxon p-value	1.0000
DynamicAccuracy | 5tp	Wilcoxon Significance	ns
DynamicAccuracy | 5tp	TOST p-value (small: 0.2σ)	0.7585
DynamicAccuracy | 5tp	TOST Equivalent (small)	No
DynamicAccuracy | 5tp	TOST Delta (small)	±0.0050
DynamicAccuracy | 5tp	TOST p-value (medium: 0.5σ)	0.9583
DynamicAccuracy | 5tp	TOST Equivalent (medium)	No
DynamicAccuracy | 5tp	TOST Delta (medium)	±0.0125
DynamicAccuracy | 5tp	TOST p-value (large: 0.8σ)	0.9966
DynamicAccuracy | 5tp	TOST Equivalent (large)	No
DynamicAccuracy | 5tp	TOST Delta (large)	±0.0200
DynamicAccuracy | 5tp	---	---
